,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
151,Mbekenyera,0,TZ,1558755643,96,-10.0,38.98,66.07,4.21
152,Lima,90,PE,1558755396,88,-12.06,-77.04,64.4,10.29
153,Butaritari,100,KI,1558755646,75,3.07,172.79,84.61,7.9
154,Forestville,40,CA,1558755647,81,48.74,-69.09,46.4,9.17
155,Carbonia,20,IT,1558755648,93,39.17,8.53,55.4,3.36
156,Mongu,0,ZM,1558755650,67,-15.27,23.14,55.27,5.14
157,Ambositra,30,MG,1558755651,97,-20.53,47.24,52.57,3.74
158,Merritt,75,CA,1558755652,67,50.11,-120.79,60.8,13.87
159,Ketchikan,75,US,1558755654,62,55.34,-131.65,53.6,17.22
160,Asyut,0,EG,1558755655,35,27.18,31.19,78.67,18.5
161,Lev Tolstoy,0,RU,1558755656,71,53.21,39.45,51.8,6.71
162,Copiapo,100,CL,1558755658,81,-27.37,-70.33,53.6,3.36
163,Muli,0,IN,1558755659,54,22.62,71.45,85.87,12.17
164,Hasaki,0,JP,1558755660,35,35.73,140.83,91.0,5.82
165,Ratnagiri,88,IN,1558755662,77,16.98,73.3,84.79,8.48
166,Puerto Leguizamo,33,CO,1558755663,96,-0.19,-74.78,71.65,1.63
167,Lompoc,20,US,1558755664,77,34.64,-120.46,62.01,9.17
168,Cravo Norte,80,CO,1558755666,78,6.3,-70.2,79.03,1.19
169,Kirakira,55,SB,1558755667,72,-10.46,161.92,83.17,11.61
170,Kosh-Agach,0,RU,1558755668,17,49.99,88.66,43.75,6.87
171,Ust-Nera,61,RU,1558755670,47,64.57,143.24,49.15,4.81
172,Nishihara,0,JP,1558755671,22,35.74,139.53,91.0,5.82
173,Pithoragarh,0,IN,1558755672,22,29.59,80.22,78.67,4.25
174,Mar del Plata,38,AR,1558755673,63,-46.43,-67.52,49.51,11.07
175,Nova Gradiska,0,HR,1558755571,100,45.26,17.38,51.01,1.34
176,Tilichiki,100,RU,1558755676,92,60.47,166.1,38.71,7.54
177,Shirokiy,86,RU,1558755677,83,53.87,39.17,47.53,9.75
178,Mana,20,RS,1558755679,100,43.52,20.24,51.8,2.24
179,Linjiang,79,CN,1558755680,31,41.81,126.91,80.47,14.54
180,Mahajanga,20,MG,1558755681,78,-15.72,46.32,73.4,6.93
181,Katsuura,20,JP,1558755683,53,33.93,134.5,86.0,4.7
182,Tigre,0,AR,1558755684,71,-34.42,-58.58,55.99,3.36
183,Alaca,18,TR,1558755686,89,40.17,34.84,55.99,2.39
184,Haines Junction,60,CA,1558755687,49,60.75,-137.51,54.01,6.8
185,Hohhot,0,CN,1558755688,29,40.81,111.65,78.8,6.71
186,Campbell River,20,CA,1558755690,51,50.02,-125.24,60.8,19.46
187,Eliot,40,US,1558755691,81,43.15,-70.8,53.6,1.74
188,Nhulunbuy,75,AU,1558755692,69,-12.18,136.78,82.4,12.75
189,Yongan,3,CN,1558755694,21,39.7,113.69,81.73,6.6
190,Santa Cruz,1,US,1558755577,93,36.97,-122.03,64.0,5.82
191,Perehonivka,0,UA,1558755698,93,49.98,30.49,61.0,6.71
192,Verkhnyaya Inta,100,RU,1558755699,74,65.99,60.32,29.53,21.5
